INTLDES,NORAD_CAT_ID,OBJECT_NAME,APOGEE,PERIGEE
2020-006AY,45090,STARLINK-1176,548,546
2020-012D,45181,STARLINK-1200,548,546
2020-012E,45182,STARLINK-1201,548,546
2020-012AD,45205,STARLINK-1208,548,546
2020-012BA,45226,STARLINK-1217,548,546
2020-012BD,45229,STARLINK-1226,548,546
2020-025AN,45567,STARLINK-1361,548,546
2020-035N,45669,STARLINK-1452,548,546
2020-035V,45676,STARLINK-1460,548,546
2020-035AV,45700,STARLINK-1400,548,546
2020-055K,46036,STARLINK-1560,549,546
2020-057N,46129,STARLINK-1623,548,546
2020-057T,46134,STARLINK-1638,548,546
2020-057AB,46142,STARLINK-1597,548,546
2020-057BJ,46173,STARLINK-1640,548,546
2020-057BK,46174,STARLINK-1641,548,546
2020-062N,46337,STARLINK-1750,548,546
2020-062V,46344,STARLINK-1765,548,546
2020-062AV,46368,STARLINK-1658,548,546
2020-073N,46682,STARLINK-1776,548,546
2020-073AG,46700,STARLINK-1800,548,546
2020-073BH,46725,STARLINK-1828,548,546
2020-074J,46747,STARLINK-1908,548,546
2020-074K,46748,STARLINK-1910,548,546
2020-074W,46759,STARLINK-1833,548,546
2020-074AU,46781,STARLINK-1834,548,546
2020-074BD,46790,STARLINK-1931,548,546
2020-074BK,46796,STARLINK-1944,548,546
2020-074BM,46798,STARLINK-1948,548,546
2020-088M,47133,STARLINK-1843,548,546
2020-088N,47134,STARLINK-1844,548,546
2020-088BM,47181,STARLINK-1927,548,546
2021-005BB,47398,STARLINK-2120,548,546
2021-005BK,47406,STARLINK-2133,548,546
2021-009D,47551,STARLINK-1938,548,546
2021-009R,47563,STARLINK-1962,548,546
2021-009AB,47573,STARLINK-1975,548,546
2021-009AL,47582,STARLINK-1986,548,546
2021-009AR,47587,STARLINK-1991,548,546
2021-012E,47624,STARLINK-1669,548,546
2021-012AC,47646,STARLINK-2028,548,546
2021-018BJ,47843,STARLINK-2435,548,546
2021-021L,47870,STARLINK-2326,549,546
2021-021R,47875,STARLINK-2331,548,546
2021-021T,47877,STARLINK-2333,548,546
2021-021Y,47882,STARLINK-2340,548,546
2021-021AH,47891,STARLINK-2351,548,546
2021-021AU,47902,STARLINK-2362,548,546
2021-024A,47977,STARLINK-2087,548,546
2021-024E,47981,STARLINK-2303,548,546
2021-024S,47993,STARLINK-2273,548,546
2021-024AC,48003,STARLINK-2263,548,546
2021-024AT,48018,STARLINK-2282,548,546
2021-024BC,48027,STARLINK-2300,548,546
2021-024BJ,48033,STARLINK-2286,548,546
2021-036U,48294,STARLINK-2533,548,546
2021-036Z,48299,STARLINK-2557,548,546
2021-036BA,48324,STARLINK-2527,548,546
2021-038R,48368,STARLINK-2623,548,546
2021-038S,48369,STARLINK-2641,548,546
2021-038Z,48376,STARLINK-2610,548,546
2021-038AF,48382,STARLINK-2585,548,546
2021-038AM,48388,STARLINK-2594,548,546
2021-038AN,48389,STARLINK-1904,548,546
2021-041X,48574,STARLINK-2225,549,546
2021-044AE,48666,STARLINK-2666,549,546
2021-125C,50158,STARLINK-3309,542,538
2022-010P,51469,STARLINK-3182,542,537
2022-017N,51780,STARLINK-3617,541,538
2022-017AG,51798,STARLINK-3634,542,538
2022-025D,51959,STARLINK-3704,542,538
2022-025T,51973,STARLINK-3679,542,538
2022-025Y,51978,STARLINK-3666,541,538
2022-025AD,51983,STARLINK-3655,541,538
2022-029J,52096,STARLINK-3717,542,538
2022-029AN,52124,STARLINK-3684,541,538
2022-029AP,52125,STARLINK-3727,541,538
2022-041P,52274,STARLINK-3790,542,538
2022-041AH,52292,STARLINK-3753,541,538
2022-041BC,52311,STARLINK-3750,542,538
2022-045AY,52377,STARLINK-3805,541,538
2022-049AA,52475,STARLINK-3882,541,538
2022-049AK,52484,STARLINK-3887,542,538
2022-051R,52548,STARLINK-3931,542,538
2022-051AA,52557,STARLINK-3943,541,538
2022-051AD,52560,STARLINK-3956,541,538
2022-051AL,52567,STARLINK-3929,542,538
2022-051AN,52569,STARLINK-3927,542,538
2022-052C,52600,STARLINK-4026,542,538
2022-052N,52610,STARLINK-3998,542,537
2022-052P,52611,STARLINK-3980,542,538
2022-052U,52616,STARLINK-4015,542,538
2022-052AK,52631,STARLINK-3794,542,538
2022-052AU,52640,STARLINK-3977,542,538
2022-053Y,52678,STARLINK-4074,542,538
2022-062R,52845,STARLINK-4168,542,538
2022-062S,52846,STARLINK-4212,542,538
2022-076U,53004,STARLINK-4253,541,538
2022-076V,53005,STARLINK-4288,541,538
2022-076AN,53022,STARLINK-4216,542,538
2022-077L,53053,STARLINK-4337,564,562
2022-077AH,53074,STARLINK-4310,565,561
2022-077AK,53076,STARLINK-4347,565,561
2022-077AQ,53081,STARLINK-4326,565,561
2022-077AV,53086,STARLINK-4318,565,561
2022-077AX,53088,STARLINK-4333,565,561
2022-084AA,53213,STARLINK-4414,564,562
2022-084AN,53225,STARLINK-4358,565,561
2022-084AP,53226,STARLINK-4359,565,561
2022-084AR,53228,STARLINK-4365,565,561
2022-084AT,53230,STARLINK-4364,565,561
2022-097L,53398,STARLINK-4512,541,538
2022-097AH,53419,STARLINK-4476,541,538
2022-097AX,53433,STARLINK-4549,541,539
2022-099C,53467,STARLINK-4394,564,562
2022-099R,53480,STARLINK-4442,564,562
2022-099Y,53487,STARLINK-4432,565,561
2022-099AX,53510,STARLINK-4441,564,562
2022-101AG,53557,STARLINK-4502,541,538
2022-107AP,53737,STARLINK-4646,541,539
2022-111F,53778,STARLINK-4709,541,538
2022-136H,54058,STARLINK-5167,541,539
2019-074AH,44744,STARLINK-1039,548,546
2020-001Z,44937,STARLINK-1079,548,546
2020-001AS,44954,STARLINK-1066,548,546
2020-001BJ,44970,STARLINK-1093,548,546
2020-006E,45048,STARLINK-1134,548,546
2020-012Z,45201,STARLINK-1199,548,546
2020-012AV,45221,STARLINK-1189,548,546
2020-012BJ,45234,STARLINK-1243,548,546
2020-025Y,45553,STARLINK-1323,548,546
2020-035G,45663,STARLINK-1446,548,546
2020-038F,45735,STARLINK-1471,548,546
2020-057AR,46156,STARLINK-1545,548,546
2020-062D,46328,STARLINK-1686,548,546
2020-062F,46330,STARLINK-1710,548,546
2020-062T,46342,STARLINK-1762,548,546
2020-062AB,46350,STARLINK-1617,548,546
2020-062AD,46352,STARLINK-1653,548,546
2020-062AL,46359,STARLINK-1707,548,546
2020-062AP,46362,STARLINK-1726,548,546
2020-070K,46541,STARLINK-1687,548,546
2020-073C,46672,STARLINK-1716,548,546
2020-073AJ,46702,STARLINK-1802,548,546
2020-074B,46740,STARLINK-1848,548,546
2020-074T,46756,STARLINK-1925,548,546
2020-074AC,46765,STARLINK-1906,548,546
2020-074AZ,46786,STARLINK-1893,548,546
2020-088AU,47164,STARLINK-1879,548,546
2021-012Q,47634,STARLINK-2010,548,546
2021-012U,47638,STARLINK-2015,548,546
2021-021C,47862,STARLINK-2291,548,546
2021-021BJ,47916,STARLINK-2378,548,546
2021-021BL,47918,STARLINK-2398,548,546
2021-022R,47947,OBJECT R,558,534
2021-024AH,48008,STARLINK-2271,548,546
2021-038Y,48375,STARLINK-2603,548,546
2021-038AH,48384,STARLINK-2601,548,546
2021-104Y,49430,STARLINK-3138,541,538
2021-115F,49729,STARLINK-3251,541,538
2022-005Q,51118,STARLINK-3394,542,538
2022-025AF,51985,STARLINK-3651,541,538
2022-041AT,52302,STARLINK-3564,541,538
2022-041AZ,52308,STARLINK-3745,541,538
2022-049G,52457,STARLINK-3899,541,538
2022-049AL,52485,STARLINK-3913,541,538
2022-049AV,52494,STARLINK-3857,542,538
2022-052B,52599,STARLINK-4024,542,537
2022-053L,52666,STARLINK-4079,541,538
2022-053AN,52692,STARLINK-3993,541,538
2022-053BC,52706,STARLINK-3970,542,538
2022-062D,52833,STARLINK-4086,541,538
2022-062E,52834,STARLINK-4108,541,538
2022-076Z,53009,STARLINK-4277,541,538
2022-083AX,53177,STARLINK-4298,541,539
2022-083BC,53182,STARLINK-4278,541,539
2022-084AD,53216,STARLINK-4376,564,562
2022-104H,53595,STARLINK-4684,541,539
2022-111A,53773,STARLINK-4718,541,539
2019-074AA,44737,STARLINK-1032,548,546
2020-001R,44929,STARLINK-1121,548,546
2020-001AD,44941,STARLINK-1094,548,546
2020-001AM,44949,STARLINK-1122,548,546
2020-001BE,44966,STARLINK-1088,548,546
2020-012N,45190,STARLINK-1234,548,546
2020-012AL,45212,STARLINK-1231,548,546
2020-025E,45535,STARLINK-1350,548,546
2020-025AH,45562,STARLINK-1354,548,546
2020-025BK,45588,STARLINK-1360,548,546
2020-055AV,46070,STARLINK-1536,548,546
2020-062P,46338,STARLINK-1752,548,546
2020-073Z,46693,STARLINK-1792,548,546
2020-073AT,46711,STARLINK-1813,548,546
2020-074AH,46770,STARLINK-1932,548,546
2020-088X,47143,STARLINK-1856,548,546
2020-088AX,47167,STARLINK-1884,548,546
2021-009M,47559,STARLINK-1958,548,546
2021-009Y,47570,STARLINK-1969,548,546
2021-009AP,47585,STARLINK-1989,548,546
2021-009BJ,47604,STARLINK-2021,548,546
2021-009BL,47606,STARLINK-2024,548,546
2021-012D,47623,STARLINK-1655,548,546
2021-012N,47632,STARLINK-1992,548,546
2021-012AS,47660,STARLINK-2044,548,546
2021-012BD,47671,STARLINK-2064,548,546
2021-018BK,47844,STARLINK-2446,548,546
2021-021AZ,47907,STARLINK-2367,548,546
2021-024AJ,48009,STARLINK-2153,548,546
2021-036AB,48301,STARLINK-2537,548,546
2021-036BK,48333,STARLINK-2518,549,546
2021-038AT,48394,STARLINK-2573,548,546
2021-038BB,48402,STARLINK-2560,548,546
2021-040E,48432,STARLINK-2680,548,546
2021-041AF,48582,STARLINK-2236,549,546
2021-044M,48649,STARLINK-2673,549,546
2021-104U,49426,STARLINK-3114,541,538
2021-104Z,49431,STARLINK-3153,541,538
2021-115AW,49768,STARLINK-3196,541,538
2022-025AW,52000,STARLINK-3653,542,538
2022-051AB,52558,STARLINK-3954,542,538
2022-053W,52676,STARLINK-4006,541,538
2022-062G,52836,STARLINK-4043,541,538
2022-062J,52838,STARLINK-4092,541,538
2022-062AW,52874,STARLINK-4210,541,538
2022-076AF,53015,STARLINK-4262,542,538
2022-084Z,53212,STARLINK-4416,564,562
2022-086B,53243,STARLINK-4047,541,538
2022-086D,53245,STARLINK-4124,541,538
2022-086Q,53256,STARLINK-4147,542,538
2022-086AM,53277,STARLINK-4178,541,538
2022-086BB,53291,STARLINK-4166,541,538
2022-097W,53408,STARLINK-4491,541,538
2022-099AV,53508,STARLINK-4443,564,562
2022-104AV,53631,STARLINK-4599,541,538
2022-104BC,53638,STARLINK-4594,541,539
2022-105AQ,53686,STARLINK-4467,564,562
2022-111E,53777,STARLINK-4664,541,538
1988-020A,18958,COSMOS 1933,557,544
2020-001AF,44943,STARLINK-1100,548,546
2020-006BH,45099,STARLINK-1186,548,546
2020-012W,45198,STARLINK-1154,548,546
2020-012AX,45223,STARLINK-1212,548,546
2020-019BM,45419,STARLINK-1308,548,546
2020-055U,46045,STARLINK-1591,549,546
2020-055W,46047,STARLINK-1524,549,546
2020-057D,46120,STARLINK-1601,548,546
2020-057AG,46147,STARLINK-1611,548,546
2020-057AM,46152,STARLINK-1634,548,546
2020-057AP,46154,STARLINK-1642,548,546
2020-057AU,46159,STARLINK-1595,548,546
2020-070BB,46581,STARLINK-1712,549,546
2020-074F,46744,STARLINK-1894,548,546
2020-074AD,46766,STARLINK-1916,548,546
2020-074AK,46772,STARLINK-1936,548,546
2020-074AS,46779,STARLINK-1798,548,546
2020-074AY,46785,STARLINK-1883,548,546
2020-088AS,47162,STARLINK-1877,548,546
2021-005BA,47397,STARLINK-2119,548,546
2021-005BE,47401,STARLINK-2123,548,546
2021-009L,47558,STARLINK-1957,548,546
2021-021V,47879,STARLINK-2336,548,546
2021-036G,48282,STARLINK-2558,548,546
2021-036AQ,48314,STARLINK-2549,548,546
2021-038AB,48378,STARLINK-2526,548,546
2021-038BD,48404,STARLINK-2593,548,546
2021-038BK,48410,STARLINK-2563,548,546
2021-040M,48439,STARLINK-2583,549,546
2021-041AJ,48585,STARLINK-2240,549,546
2021-041AL,48587,STARLINK-2242,549,546
2021-044AU,48680,STARLINK-2649,549,546
2021-115AL,49758,STARLINK-3194,542,538
2021-115AX,49769,STARLINK-3208,541,538
2021-125D,50159,STARLINK-3297,542,538
2022-016Q,51728,STARLINK-3448,542,538
2022-016V,51733,STARLINK-3525,542,538
2022-017AS,51808,STARLINK-3609,542,538
2022-017AX,51813,STARLINK-3552,542,538
2022-017AY,51814,STARLINK-3599,541,538
2022-022AJ,51884,STARLINK-3577,541,538
2022-025A,51956,STARLINK-3700,542,538
2022-025AJ,51988,STARLINK-3640,542,538
2022-025AL,51990,STARLINK-3657,541,538
2022-025AU,51998,STARLINK-3618,541,538
2022-029F,52093,STARLINK-3673,541,538
2022-041AB,52286,STARLINK-3802,541,538
2022-045AB,52356,STARLINK-3801,541,538
2022-049BC,52501,STARLINK-3907,542,538
2022-051A,52533,STARLINK-3951,542,538
2022-051F,52538,STARLINK-3933,541,538
2022-051K,52542,STARLINK-3937,542,538
2022-051BE,52588,STARLINK-3917,542,538
2022-053S,52672,STARLINK-4073,542,538
2022-053BB,52705,STARLINK-3844,542,538
2022-062M,52841,STARLINK-4065,542,538
2022-062AS,52870,STARLINK-4195,542,538
2022-076G,52992,STARLINK-4269,542,538
2022-076J,52994,STARLINK-4256,542,538
2022-076BC,53036,STARLINK-4155,541,538
2022-076BE,53038,STARLINK-4156,541,538
2022-083AA,53156,STARLINK-4087,541,538
2022-084Q,53203,STARLINK-4409,564,562
2022-084Y,53211,STARLINK-4419,564,562
2022-097AM,53423,STARLINK-4539,542,538
2022-099B,53466,STARLINK-4398,564,562
2022-101L,53537,STARLINK-4120,541,538
2022-104B,53589,STARLINK-4673,541,539
2022-104BE,53640,STARLINK-4597,541,539
2022-107E,53704,STARLINK-4714,541,539
2022-107N,53712,STARLINK-4683,546,544
2022-107AA,53724,STARLINK-4663,541,538
2022-111M,53784,STARLINK-4687,541,538
