INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
2022-049AH,52482,PAYLOAD,STARLINK-3813,US,2022-05-06,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,49,AH,Y,STARLINK-3813,2022-049AH,52482
2022-049AX,52496,PAYLOAD,STARLINK-3871,US,2022-05-06,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,49,AX,Y,STARLINK-3871,2022-049AX,52496
2022-049BB,52500,PAYLOAD,STARLINK-3866,US,2022-05-06,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,49,BB,Y,STARLINK-3866,2022-049BB,52500
2022-051B,52534,PAYLOAD,STARLINK-3952,US,2022-05-13,AFWTR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,51,B,Y,STARLINK-3952,2022-051B,52534
2022-051V,52552,PAYLOAD,STARLINK-3966,US,2022-05-13,AFWTR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,51,V,Y,STARLINK-3966,2022-051V,52552
2022-051W,52553,PAYLOAD,STARLINK-3858,US,2022-05-13,AFWTR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,51,W,Y,STARLINK-3858,2022-051W,52553
2022-051AC,52559,PAYLOAD,STARLINK-3953,US,2022-05-13,AFWTR,,95.44,53.22,541,539,,,0,LARGE,8270,2022,51,AC,Y,STARLINK-3953,2022-051AC,52559
2022-051AX,52581,PAYLOAD,STARLINK-3915,US,2022-05-13,AFWTR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,51,AX,Y,STARLINK-3915,2022-051AX,52581
2022-051BA,52584,PAYLOAD,STARLINK-3922,US,2022-05-13,AFWTR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,51,BA,Y,STARLINK-3922,2022-051BA,52584
2022-051BB,52585,PAYLOAD,STARLINK-3906,US,2022-05-13,AFWTR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,51,BB,Y,STARLINK-3906,2022-051BB,52585
2022-052A,52598,PAYLOAD,STARLINK-4019,US,2022-05-14,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,52,A,Y,STARLINK-4019,2022-052A,52598
2022-052D,52601,PAYLOAD,STARLINK-4027,US,2022-05-14,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,52,D,Y,STARLINK-4027,2022-052D,52601
2022-052AG,52628,PAYLOAD,STARLINK-4001,US,2022-05-14,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,52,AG,Y,STARLINK-4001,2022-052AG,52628
2022-052AM,52633,PAYLOAD,STARLINK-3994,US,2022-05-14,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,52,AM,Y,STARLINK-3994,2022-052AM,52633
2022-052AQ,52636,PAYLOAD,STARLINK-3967,US,2022-05-14,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,52,AQ,Y,STARLINK-3967,2022-052AQ,52636
2022-052AV,52641,PAYLOAD,STARLINK-3991,US,2022-05-14,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,52,AV,Y,STARLINK-3991,2022-052AV,52641
2022-052BD,52649,PAYLOAD,STARLINK-3868,US,2022-05-14,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,52,BD,Y,STARLINK-3868,2022-052BD,52649
2022-053G,52662,PAYLOAD,STARLINK-4044,US,2022-05-18,AFETR,,95.44,53.21,541,538,,,0,LARGE,8270,2022,53,G,Y,STARLINK-4044,2022-053G,52662
2022-053N,52668,PAYLOAD,STARLINK-4067,US,2022-05-18,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,53,N,Y,STARLINK-4067,2022-053N,52668
2022-053Z,52679,PAYLOAD,STARLINK-4031,US,2022-05-18,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,53,Z,Y,STARLINK-4031,2022-053Z,52679
2022-053AC,52682,PAYLOAD,STARLINK-4017,US,2022-05-18,AFETR,,95.44,53.22,542,538,,,0,LARGE,8270,2022,53,AC,Y,STARLINK-4017,2022-053AC,52682
2022-053AQ,52694,PAYLOAD,STARLINK-4072,US,2022-05-18,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,53,AQ,Y,STARLINK-4072,2022-053AQ,52694
2022-053AT,52697,PAYLOAD,STARLINK-4018,US,2022-05-18,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,53,AT,Y,STARLINK-4018,2022-053AT,52697
2022-053BE,52708,PAYLOAD,STARLINK-3962,US,2022-05-18,AFETR,,95.44,53.22,541,538,,,0,LARGE,8270,2022,53,BE,Y,STARLINK-3962,2022-053BE,52708
2022-057M,52743,UNKNOWN,OBJECT M,TBD,2022-05-25,AFETR,,95.07,97.53,527,517,,,0,SMALL,8270,2022,57,M,Y,OBJECT M,2022-057M,52743
2022-057AE,52760,PAYLOAD,VIGORIDE-3,US,2022-05-25,AFETR,,95.15,97.53,533,518,,,0,MEDIUM,8270,2022,57,AE,Y,VIGORIDE-3,2022-057AE,52760
2022-057AK,52765,PAYLOAD,ARMSAT1 URDANETA,SPN,2022-05-25,AFETR,,95.02,97.54,528,511,,,0,MEDIUM,8270,2022,57,AK,Y,ARMSAT1 URDANETA,2022-057AK,52765
2022-058G,52791,PAYLOAD,GEESAT 7,PRC,2022-06-02,XSC,,97.04,49.99,622,611,,,0,MEDIUM,8270,2022,58,G,Y,GEESAT 7,2022-058G,52791
